CEUS catalog emm_pi.c2 (March 2016)
mining-related eqks deleted
non-declustered
format: mw*(mixed moment magnitude; for rates use column 12),lon(dE),lat(dN),dp(km),y,m,d,h,m,s,mwsig,emw,nstar,comment
2.18 -104.900  39.900   0 1967 02 21 21 55  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
4.52 -104.800  39.900   4 1967 04 10 19  0  0.  0.150 4.47 1.061 SLU|mw,4.52(mwm)
2.78 -104.900  39.900   0 1967 04 10 19 35  0.  0.240 2.78 1.165 SRA|ml,3.10MLGOL
4.08 -104.770  39.890   5 1967 04 10 19 36 38.  0.240 4.08 1.165 SRA|mb,4.4neic
4.48 -104.910  39.860   5 1967 04 10 20 11 14.6 0.240 4.48 1.165 SRA|mb,4.8neic
2.08 -104.900  39.900   0 1967 04 10 20 38  0.  0.240 2.08 1.165 SRA|ml,2.40MLGOL
2.38 -104.900  39.900   0 1967 04 10 22 09  0.  0.240 2.38 1.165 SRA|ml,2.70MLGOL
3.98 -104.790  39.920   5 1967 04 10 23 58 40.8 0.240 3.98 1.165 SRA|mb,4.3neic
1.78 -104.900  39.900   0 1967 04 12 02 22  0.  0.240 1.78 1.165 SRA|ml,2.10MLGOL
2.08 -104.900  39.900   0 1967 04 12 05 40  0.  0.240 2.08 1.165 SRA|ml,2.40MLGOL
1.68 -104.900  39.900   0 1967 04 12 09 48  0.  0.240 1.68 1.165 SRA|ml,2.00MLGOL
2.48 -104.900  39.900   0 1967 04 23 02 35  0.  0.240 2.48 1.165 SRA|ml,2.80MLGOL
4.18 -104.770  39.910   5 1967 04 27 17 24 42.3 0.240 4.18 1.165 USH|mb,4.5neic
2.18 -104.900  39.900   0 1967 04 28 06 53  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
2.38 -104.900  39.900   0 1967 04 28 12 21  0.  0.240 2.38 1.165 SRA|ml,2.70MLGOL
2.18 -104.900  39.900   0 1967 05 12 01 58  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
2.28 -104.900  39.900   0 1967 05 19 17 46  0.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
2.28 -104.900  39.900   0 1967 06 08 07 51  0.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
2.58 -104.800  39.900   5 1967 06 19 15 39 22.  0.240 2.58 1.165 SRA|ml,2.90MLGOL
2.28 -104.900  39.900   0 1967 06 19 17 47  0.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
2.18 -104.900  39.900   0 1967 07 12 01 45  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
