The South American Crustal Structure Database

62.35W	3.76	0	2.4	2.5		14.4	MCz	347.7	59O.1	O	RO
	5.28	0	2	4.9							
	6.22	0	7.5	6.9							
	7.41	0	0	14.4							
											
13.71N	2.01	0	1.8	0	s	10.2	-3	0	CGM-GR	5	R
62.46W	3.76	0	1.9	1.8		12	MCz	347.7	59O.1	O	RO
	5.28	0	1.6	3.7							
	6.22	0	6.7	5.3							
	7.41	0	0	12							
											
13.96N	1.84	0	0.78	0	s	7.16	-1.1	0	CGM-AV	5	R
63.17W	3.66	0	1.53	0.78		7.94	MCz	319.7	59O.1		
	4.42	0	2.58	2.31							
	6.15	0	3.05	4.89							
	6.69	0	0	7.94							
											
14.49N	3.66	0	1.57	0		7.91	-1.4	0	CGM-AV	4	R
63.63W	4.42	0	3.63	1.57		7.91	MCz	319.7	59O.1		
	6.15	0	2.71	5.2							
	6.69	0	0	7.91							
											
14.77N	1.67	0	0.73	0	s	0.87	-1.7	0	CGM-AV	4	R
63.06W	3.23	0	2.51	0.73	s	4.11	MCz	192.3	59O.1		
	4.98	0	0.87	3.24							
	6.24	0	0	4.11							
											
14.09N	1.67	0	0.62	0	s	2.77	-1.3	0	CGM-AV	4	R
63.22W	3.23	0	1.3	0.62	s	4.69	MCz	192.3	59O.1		
	4.98	0	2.77	1.92							
	6.24	0	0	4.69							
											
14.09N	1.65	0	0.67	0	s	0	-1.3	0	CGM-AV	3	R
63.22W	2.9	0	0.96	0.67	s	1.63	MCz	196.7	59O.1		
	4.7	0	0	1.63							
											
13.89N	1.65	0	0.77	0	s	0	-1.2	0	CGM-AV	3	R
63.28W	2.9	0	0.88	0.77	s	1.65	MCz	196.7	59O.1		
	4.7	0	0	1.65							
											
14.39N	1.7	0	0.43	0	s	11.86	-3.7	0	CGM-VE	7	R
64.70W	2.35	0	0.5	0.43	s	14.13	MCz	271.8	59O.1		
	3.21	0	1.34	0.93	s						
	4.95	0	1.52	2.27							
	6.15	0	5.21	3.79							
	7.36	0	5.13	9							
	8.08	0	0	14.13	m						
											
13.50N	1.7	0	0.77	0	s	5.14	-5	0	CGM-VE	6	R
66.41W	2.05	0	0.08	0.77	s	7.8	MCz	302.2	59O.1		
	2.73	0	1.81	0.85	s						
	6.23	0	2.14	2.66	c						
	7.63	0	3	4.8	c						
	8.23	0	0	7.8	m						
											
14.71N	1.73	0.9	1.45	0	s	6.32	-5	0	CGM-VE	4	R
66.72W	5.99	3.22	1.77	1.45	c	7.77	MCz	316.3	59O.1		
	7.21	3.89	4.55	3.22	c						
	8.2	4.63	0	7.77	m						
											
21.06S	0	3.62	13.1	0		68.3	3.7	0	SAC-AN	5	C
68.20W	0	3.42	19.7	13.1	l	68.3	MCz	999	09W.1	O	RO
	0	3.62	35.5	32.8							
	0	4.49	12.5	68.3	m						
	0	4.4	0	80.8	m						
											
20.88S	0	3.62	15.4	0		68.3	3.8	0	SAC-AN	5	C
67.40W	0	3.42	13.8	15.4	l	68.3	MCz	999	09W.1	O	RO
	0	3.62	39.1	29.2							
	0	4.49	11.5	68.3	m						
	0	4.4	0	79.8	m						
											
21.38S	0	3.62	19.7	0		73.5	4.3	0	SAC-AL	4	C
66.30W	0	3.42	12.1	19.7	l	73.5	MCz	999	09W.1	O	RO
	0	3.62	41.7	31.8							
	0	4.49	0	73.5	m						
											
21.43S	0	3.62	23.3	0		63.3	3.6	0	SAC-AN	4	C
65.40W	0	3.42	16.7	23.3	l	63.3	MCz	999	09W.1	O	RO
	0	3.62	23.3	40							
	0	4.49	0	63.3	m						
											
25.33S	0	3.62	4.5	0		60.8	4.1	0	SAC-AL	5	C
67.90W	0	3.42	20	4.5	l	60.8	MCz	999	09W.1	O	RO
	0	3.62	36.3	24.5							
	0	4.49	14.6	60.8	m						
	0	4.4	0	75.4	m						
											
25.74S	0	3.62	4.1	0		49.6	4.5	0	SAC-AN	4	C
66.80W	0	3.42	23.5	4.1	l	49.6	MCz	999	09W.1	O	RO
	0	3.62	22	27.6							
	0	4.49	0	49.6	m						
											
14.89N	2.61	0	0	0	s	0	-1.4	0	NAO-LA	1	R
60.57W						0	MCz	313.2	53T.1	O	RO
											
11.96N	2	1	3	0	s	22	-3.6	0	CGM-CO	6	W
78.64W	4.9	3	8	3	c	25	MCz	341.4	64P.2		
	6.5	3.7	14	11	c						
	8.1	4.6	40	25	m						
	8.15	4.3	160	65	m						
	8.7	4.8	0	225	m						
											
14.45N	1.74	0	0.86	0	s	0	-2.9	0	NAO-TO	4	U
59.89W	2.73	0	2.67	0.86	s	7.97	MCz	357.3	57E.3	O	RO
	3.35	0	4.44	3.53	s						
	6.52	0	0	7.97	c						
											
13.64N	1.72	0	1.24	0	s	4.8	-1.9	0	NAO-LA	4	R
60.41W	2.86	0	1.57	1.24	s	7.61	MCz	209.2	57E.3	O	RO
	4.01	0	4.8	2.81	c						
	6.84	0	0	7.61	c						
											
13.00N	1.72	0	0.95	0	s	2.72	-1.7	0	NAO-LA	4	R
60.78W	2.86	0	1.98	0.95	s	5.65	MCz	209.2	57E.3	O	RO
	4.01	0	2.72	2.93	c						
	6.84	0	0	5.65	c						
											
14.37N	1.68	0	0.27	0	s	1.96	-1.9	0	NAO-LA	4	R
60.54W	2.64	0	1.7	0.27	s	3.93	MCz	350.9	57E.3	O	RO
	4.07	0	1.96	1.97	c						
	6.62	0	0	3.93	c						
											
14.86N	1.68	0	1.06	0	s	3.12	-1.1	0	NAO-LA	4	R
60.62W	2.64	0	2.12	1.06	s	6.3	MCz	350.9	57E.3	O	RO
	4.07	0	3.12	3.18	c						
	6.62	0	0	6.3	c						
											
30.40S	6	3.3	24.5	0		38.2	0.7	0	SAC-BR	3	C
66.53W	6.4	3.5	13.7	24.5		38.2	MCz	999	06G.1	O	RO
	8.1	4.45	0	38.2	m						
											
30.14S	6	3.3	34.9	0		56	1	0	SAC-AN	3	C
68.54W	7.8	4.3	21.1	34.9		56	MCz	999	06G.1	O	RO
	8.1	4.45	0	56	m						
											
33.82S	6.2	0	0	0		0	2.3	0	SAC-AN	1	E
70.14W						0	MCz	332	09A.1	O	RO
											
34.98S	6.5	3.75	50	0		50	0.2	0	SAC-PB	2	E
71.83W	8.16	4.71	0	50	m	50	MCz	999	09L.2	O	RO
											
4.34N	1.71	0	0.9	0	sg	4.1	-2.4	0	NAO-CE	13	U
47.59W	2.46	0	0.9	0.9	sg	13.6	MCz	86.5	09W.2		
	2.75	0	0.5	1.8	sg						
	3.08	0	0.5	2.3	sg						
	3.25	0	0.95	2.8	sg						
	4.2	0	0.95	3.75	sg						
	4.3	0	2.4	4.7	sg						
	4.6	0	2.4	7.1	sg						
	4.8	0	0.7	9.5	cg						
	5.55	0	0.7	10.2	cg						
	6.9	0	1.35	10.9	cg						
	7.3	0	1.35	12.25	cg						
	8.1	0	0	13.6	m						
											
4.35N	1.7	0	0.9	0	sg	4.5	-2.3	0	NAO-CE	13	R
47.41W	2.44	0	0.9	0.9	sg	13.6	MCz	86.5	09W.2		
	2.63	0	0.5	1.8	sg						
	2.95	0	0.5	2.3	sg						
	3.1	0	0.85	2.8	sg						
	3.88	0	0.85	3.65	sg						
	4.11	0	2.3	4.5	sg						
	4.39	0	2.3	6.8	sg						
	4.8	0	0.8	9.1	cg						
	5.8	0	0.8	9.9	cg						
	6.73	0	1.45	10.7	cg						
	7.15	0	1.45	12.15	cg						
	8.1	0	0	13.6	m						
											
4.36N	1.65	0	0.8	0	sg	4.5	-2.7	0	NAO-CE	14	R
47.22W	2.38	0	0.8	0.8	sg	12.8	MCz	86.5	09W.2		
	2.55	0	0.5	1.6	sg						
	2.85	0	0.5	2.1	sg						
	3.2	0	0.75	2.6	sg						
	3.65	0	0.75	3.35	sg						
	3.98	0	2.1	4.1	sg						
	4.3	0	2.1	6.2	sg						
	4.75	0	0.9	8.3	cg						
	5.6	0	0.9	9.2	cg						
	6.82	0	1.35	10.1	cg						
	7.27	0	1.35	11.45	cg						
	8.1	0	1.3	12.8	mg						
	8.25	0	0	14.1	mg						
											
4.37N	1.75	0	0.6	0	sg	4	-3	0	NAO-CE	14	R
47.04W	2.38	0	0.6	0.6	sg	12.2	MCz	86.5	09W.2		
	2.55	0	0.55	1.2	sg						
	2.85	0	0.55	1.75	sg						
	3.2	0	0.65	2.3	sg						
	3.58	0	0.65	2.95	sg						
	3.85	0	2.3	3.6	sg						
	4.15	0	2.3	5.9	sg						
	4.75	0	0.7	8.2	cg						
	5.7	0	0.7	8.9	cg						
	6.83	0	1.3	9.6	cg						
	7.27	0	1.3	10.9	cg						
	8.1	0	3.5	12.2	mg						
	8.5	0	0	15.7	mg						
											
4.38N	1.72	0	0.55	0	sg	4.5	-3.2	0	NAO-CE	14	R
46.86W	2.38	0	0.55	0.55	sg	11.4	MCz	86.5	09W.2		
	2.43	0	0.6	1.1	sg						
	2.7	0	0.6	1.7	sg						
	3.15	0	0.5	2.3	sg						
	3.47	0	0.5	2.8	sg						
	3.69	0	1.8	3.3	sg						
	3.93	0	1.8	5.1	sg						
	4.65	0	1.05	6.9	cg						
	5.71	0	1.05	7.95	cg						
	6.8	0	1.2	9	cg						
	7.35	0	1.2	10.2	cg						
	8.1	0	3.5	11.4	mg						
	8.5	0	0	14.9	mg						
											
4.39N	1.75	0	0.45	0	sg	4.2	-3.3	0	NAO-CE	14	R
46.68W	2.37	0	0.45	0.45	sg	11.1	MCz	86.5	09W.2		
	2.38	0	0.55	0.9	sg						
	2.68	0	0.55	1.45	sg						
	3.05	0	0.55	2	sg						
	3.38	0	0.55	2.55	sg						
	3.53	0	1.9	3.1	sg						
	3.89	0	1.9	5	sg						
	4.77	0	0.6	6.9	cg						
	5.67	0	0.6	7.5	cg						
	6.85	0	1.5	8.1	cg						
	7.3	0	1.5	9.6	cg						
	8.1	0	3.5	11.1	mg						
	8.5	0	0	14.6	mg						
											
4.40N	1.7	0	0.4	0	sg	3.9	-3.4	0	NAO-CE	14	R
46.50W	2.28	0	0.4	0.4	sg	10.6	MCz	86.5	09W.2		
	2.34	0	0.5	0.8	sg						
	2.63	0	0.5	1.3	sg						
	2.85	0	0.6	1.8	sg						
	3.21	0	0.6	2.4	sg						
	3.38	0	1.85	3	sg						
	3.75	0	1.85	4.85	sg						
	4.89	0	0.5	6.7	cg						
	5.72	0	0.5	7.2	cg						
	6.85	0	1.45	7.7	cg						
	7.37	0	1.45	9.15	cg						
	8.05	0	3.8	10.6	mg						
	8.5	0	0	14.4	mg						
											
4.42N	1.68	0	0.4	0	sg	4.1	-3.5	0	NAO-CE	14	R
46.32W	2.15	0	0.4	0.4	sg	10.1	MCz	86.5	09W.2		
	2.28	0	0.4	0.8	sg						
	2.55	0	0.4	1.2	sg						
	2.76	0	0.6	1.6	sg						
	3.09	0	0.6	2.2	sg						
	3.2	0	1.6	2.8	sg						
	3.55	0	1.6	4.4	sg						
	4.9	0	0.5	6	cg						
	5.7	0	0.5	6.5	cg						
	6.72	0	1.55	7	cg						
	7.32	0	1.55	8.55	cg						
	8.05	0	3.7	10.1	mg						
	8.5	0	0	13.8	mg						
											
4.43N	1.7	0	0.4	0	sg	3.7	-3.6	0	NAO-CE	14	R
46.14W	2.1	0	0.4	0.4	sg	9.3	MCz	86.5	09W.2		
	2.23	0	0.4	0.8	sg						
	2.48	0	0.4	1.2	sg						
	2.62	0	0.5	1.6	sg						
	2.96	0	0.5	2.1	sg						
	3	0	1.5	2.6	sg						
	3.38	0	1.5	4.1	sg						
	4.79	0	0.45	5.6	cg						
	5.75	0	0.45	6.05	cg						
	6.7	0	1.4	6.5	cg						
	7.32	0	1.4	7.9	cg						
	8.1	0	3.4	9.3	mg						
	8.5	0	0	12.7	mg						
											
4.44N	1.69	0	0.4	0	sg	4.3	-3.8	0	NAO-CE	14	U
45.96W	2.06	0	0.4	0.4	sg	8.9	MCz	86.5	09W.2		
	2.18	0	0.35	0.8	sg						
	2.39	0	0.35	1.15	sg						
	2.5	0	0.45	1.5	sg						
	2.86	0	0.45	1.95	sg						
	2.92	0	1.1	2.4	sg						
	2.92	0	1.1	3.5	sg						
	4.83	0	0.8	4.6	cg						
	5.71	0	0.8	5.4	cg						
	6.77	0	1.35	6.2	cg						
	7.36	0	1.35	7.55	cg						
	8.15	0	3.4	8.9	mg						
	8.5	0	0	12.3	mg						
											
4.93N	2.38	0	0.15	0	sg	35.9	0	0	SAC-AB	8	U
52.23W	2.75	0	0.15	0.15	sg	36.45	MCz	37.8	07G.1	E	XC
	2.9	0	0.25	0.3	s						
	5.6	0	4.25	0.55	cg						
	6	0	4.25	4.8	cg						
	6.4	0	13.7	9.05	cg						
	6.7	0	13.7	22.75	cg						
	8	0	0	36.45	m						
											
5.29N	2.38	0	0.2	0	sg	34.8	-0.1	0	SAC-AB	8	U
51.96W	2.75	0	0.2	0.2	sg	35.7	MCz	37.8	07G.1	E	XC
	2.9	0	0.5	0.4	s						
	5.6	0	4	0.9	cg						
	6	0	4	4.9	cg						
	6.4	0	13.4	8.9	cg						
	6.7	0	13.4	22.3	cg						
	8	0	0	35.7	m						
											
5.64N	2.38	0	0.25	0	sg	30.3	-0.2	0	SAC-AB	9	U
51.68W	2.75	0	0.25	0.25	sg	31.65	MCz	37.8	07G.1	E	XC
	2.85	0	0.4	0.5	sg						
	3	0	0.45	0.9	sg						
	5.6	0	3.7	1.35	cg						
	6	0	3.7	5.05	cg						
	6.4	0	11.45	8.75	cg						
	6.7	0	11.45	20.2	cg						
	8	0	0	31.65	m						
											
6.00N	1.62	0	0.5	0	sg	7	-1.9	0	SAC-AB	13	R
51.40W	2.46	0	0.5	0.5	sg	12.8	MCz	37.8	07G.1	E	XC
	2.38	0	0.5	1	sg						
	2.75	0	0.5	1.5	sg						
	2.85	0	1.6	2	sg						
	3.12	0	1.6	3.6	sg						
	4	0	0.3	5.2	sg						
	4.1	0	0.3	5.5	sg						
	5.4	0	1.3	5.8	cg						
	6	0	1.3	7.1	cg						
	6.5	0	2.2	8.4	cg						
	7.1	0	2.2	10.6	cg						
	8	0	0	12.8	m						
											
6.14N	1.62	0	0.7	0	sg	5.2	-2.6	0	SAC-AB	15	R
51.29W	2.46	0	0.7	0.7	sg	11.7	MCz	37.8	07G.1	E	XC
	2.38	0	0.15	1.4	sg						
	2.75	0	0.15	1.55	sg						
	2.7	0	0.1	1.7	sg						
	2.9	0	0.1	1.8	sg						
	2.85	0	1.4	1.9	sg						
	3.12	0	1.4	3.3	sg						
	4	0	0.9	4.7	sg						
	4.7	0	0.9	5.6	sg						
	5	0	1.2	6.5	cg						
	6	0	1.2	7.7	cg						
	6.5	0	1.4	8.9	cg						
	7.1	0	1.4	10.3	cg						
	8	0	0	11.7	m						
											
6.28N	1.7	0	0.5	0	sg	4.8	-3	0	SAC-AB	13	R
51.18W	2.5	0	0.8	0.5	sg	11	MCz	37.8	07G.1	E	XC
	2.78	0	0.3	1.3	sg						
	2.93	0	0.2	1.6	sg						
	3.06	0	1.5	1.8	sg						
	3.11	0	1.3	3.3	sg						
	4.2	0	0.8	4.6	sg						
	4.7	0	0.8	5.4	sg						
	5	0	0.9	6.2	cg						
	5.9	0	0.9	7.1	cg						
	6.55	0	1.5	8	cg						
	7.1	0	1.5	9.5	cg						
	8	0	0	11	m						
											
6.42N	1.68	0	0.45	0	sg	4.7	-3.3	0	NAO-GU	13	R
51.07W	2.48	0	0.75	0.45	sg	10.3	MCz	37.8	07G.1		
	2.74	0	0.3	1.2	sg						
	2.89	0	0.2	1.5	sg						
	3.04	0	1.45	1.7	sg						
	3.09	0	1.25	3.15	sg						
	4.15	0	0.6	4.4	sg						
	4.7	0	0.6	5	sg						
	4.95	0	0.75	5.6	cg						
	5.7	0	0.75	6.35	cg						
	6.5	0	1.6	7.1	cg						
	7.3	0	1.6	8.7	cg						
	8	0	0	10.3	m						
											
6.56N	1.67	0	0.45	0	sg	3.4	-3.5	0	NAO-GU	13	R
50.96W	2.47	0	0.75	0.45	sg	9.9	MCz	37.8	07G.1		
	2.71	0	0.3	1.2	sg						
	2.86	0	0.2	1.5	sg						
	3.02	0	1.4	1.7	sg						
	3.07	0	1.2	3.1	sg						
	4.05	0	1.1	4.3	sg						
	4.7	0	1.1	5.4	sg						
	5.1	0	0.4	6.5	cg						
	5.7	0	0.4	6.9	cg						
	6.5	0	1.3	7.3	cg						
	7.5	0	1.3	8.6	cg						
	8	0	0	9.9	m						
											
6.71N	1.66	0	0.45	0	sg	3.4	-3.8	0	NAO-GU	13	R
50.85W	2.45	0	0.7	0.45	sg	9.6	MCz	37.8	07G.1		
	2.67	0	0.25	1.15	sg						
	2.83	0	0.2	1.4	sg						
	3	0	1.3	1.6	sg						
	3.05	0	1.1	2.9	sg						
	3.95	0	1.1	4	sg						
	4.48	0	1.1	5.1	sg						
	4.98	0	0.4	6.2	cg						
	5.6	0	0.4	6.6	cg						
	6.46	0	1.3	7	cg						
	7.39	0	1.3	8.3	cg						
	8	0	0	9.6	m						
											
6.85N	1.68	0	0.5	0	sg	3.5	-4	0	NAO-GU	14	R
50.74W	2.45	0	0.75	0.5	sg	9.2	MCz	37.8	07G.1		
	2.65	0	0.25	1.25	sg						
	2.78	0	0.2	1.5	sg						
	2.94	0	0.2	1.7	sg						
	2.95	0	1	1.9	sg						
	3	0	1	2.9	sg						
	3.79	0	0.9	3.9	sg						
	3.95	0	0.9	4.8	sg						
	4.82	0	0.35	5.7	cg						
	5.36	0	0.35	6.05	cg						
	6.4	0	1.4	6.4	cg						
	7.3	0	1.4	7.8	cg						
	8	0	0	9.2	m						
											
6.99N	1.71	0	0.45	0	sg	4	-4.1	0	NAO-GU	14	R
50.63W	2.44	0	0.65	0.45	sg	8.7	MCz	37.8	07G.1		
	2.62	0	0.2	1.1	sg						
	2.73	0	0.25	1.3	sg						
	2.88	0	0.25	1.55	sg						
	2.9	0	0.95	1.8	sg						
	2.95	0	0.95	2.75	sg						
	3.64	0	0.5	3.7	sg						
	3.8	0	0.5	4.2	sg						
	4.67	0	0.7	4.7	cg						
	5.1	0	0.7	5.4	cg						
	6.5	0	1.3	6.1	cg						
	7.2	0	1.3	7.4	cg						
	8	0	0	8.7	m						
											
7.13N	1.7	0	0.5	0	sg	3.6	-4.2	0	NAO-GU	14	R
50.52W	2.4	0	0.7	0.5	sg	8.4	MCz	37.8	07G.1		
	2.6	0	0.2	1.2	sg						
	2.7	0	0.2	1.4	sg						
	2.8	0	0.2	1.6	sg						
	2.86	0	0.9	1.8	sg						
	2.89	0	0.9	2.7	sg						
	3.5	0	0.6	3.6	sg						
	3.7	0	0.6	4.2	sg						
	4.6	0	0.65	4.8	cg						
	5	0	0.65	5.45	cg						
	6.5	0	1.15	6.1	cg						
	7.1	0	1.15	7.25	cg						
	8	0	0	8.4	m						
											
7.27N	1.7	0	0.5	0	sg	3.2	-4.2	0	NAO-GU	12	R
50.41W	2.4	0	0.7	0.5	sg	8.3	MCz	37.8	07G.1		
	2.6	0	0.2	1.2	sg						
	2.7	0	0.5	1.4	s						
	2.8	0	1.6	1.9	s						
	3.35	0	0.8	3.5	sg						
	3.55	0	0.8	4.3	sg						
	4.6	0	0.4	5.1	cg						
	5	0	0.4	5.5	cg						
	6.5	0	1.2	5.9	cg						
	6.9	0	1.2	7.1	cg						
	8	0	0	8.3	m						
											
7.41N	1.7	0	0.55	0	sg	3.6	-4.3	0	NAO-GU	12	U
50.30W	2.4	0	0.7	0.55	sg	8.2	MCz	37.8	07G.1		
	2.6	0	0.15	1.25	sg						
	2.65	0	0.6	1.4	s						
	2.8	0	1.6	2	s						
	3.2	0	0.5	3.6	sg						
	3.4	0	0.5	4.1	sg						
	4.6	0	0.7	4.6	cg						
	5	0	0.7	5.3	cg						
	6.5	0	1.1	6	cg						
	6.9	0	1.1	7.1	cg						
	8	0	0	8.2	m						
											
5.84N	4.3	0	2.8	0	cg	35.6	0	0	SAC-AB	5	U
53.95W	5.7	0	2.8	2.8	cg	35.6	MCz	24.6	07G.2	E	XC
	6.4	0	15	5.6	cg						
	6.9	0	15	20.6	cg						
	8	0	0	35.6	m						
											
6.25N	2.05	0	0.3	0	sg	30.7	-0.1	0	SAC-AB	8	U
53.76W	2.25	0	0.3	0.3	sg	31.9	MCz	24.6	07G.2	E	XC
	2.8	0	0.6	0.6	s						
	4.3	0	2.5	1.2	cg						
	5.7	0	2.5	3.7	cg						
	6.4	0	12.85	6.2	cg						
	6.9	0	12.85	19.05	cg						
	8	0	0	31.9	m						
											
7.47N	1.65	0	0.45	0	sg	21.8	-0.7	0	NAO-GU	11	U
53.19W	2	0	0.45	0.45	sg	24.7	MCz	24.6	07G.2	E	XC
	2.05	0	0.2	0.9	sg						
	2.25	0	0.2	1.1	sg						
	2.8	0	0.8	1.3	sg						
	2.96	0	0.8	2.1	sg						
	4.2	0	2.6	2.9	cg						
	5.6	0	2.6	5.5	cg						
	6.4	0	8.3	8.1	cg						
	6.85	0	8.3	16.4	cg						
	0	0	0	24.7	m						
											
7.88N	1.65	0	0.3	0	sg	20.51	-1.2	0	NAO-GU	13	R
53.00W	1.85	0	0.3	0.3	sg	23.81	MCz	24.6	07G.2	E	XC
	2.15	0	0.1	0.6	sg						
	2.45	0	0.1	0.7	sg						
	2.8	0	0.7	0.8	sg						
	2.95	0	0.7	1.5	sg						
	3.2	0	0.55	2.2	sg						
	3.45	0	0.55	2.75	sg						
	4.4	0	2.15	3.3	cg						
	6.13	0	2.16	5.45	cg						
	6.4	0	8.1	7.61	cg						
	6.9	0	8.1	15.71	cg						
	0	0	0	23.81	m						
											
8.29N	1.65	0	0.2	0	sg	17.1	-2.6	0	NAO-GU	13	R
52.81W	1.75	0	0.2	0.2	sg	19.9	MCz	24.6	07G.2		
	2.05	0	0.2	0.4	sg						
	2.25	0	0.2	0.6	sg						
	2.28	0	0.2	0.8	sg						
	2.5	0	0.2	1	sg						
	3.4	0	0.8	1.2	sg						
	3.75	0	0.8	2	sg						
	4.5	0	1.65	2.8	cg						
	6.03	0	1.65	4.45	cg						
	6.36	0	6.9	6.1	cg						
	6.77	0	6.9	13	cg						
	8	0	0	19.9	m						
											
8.50N	1.65	0	0.2	0	sg	12.4	-3.5	0	NAO-GU	12	R
52.72W	1.75	0	0.2	0.2	sg	14.35	MCz	24.6	07G.2		
	2.05	0	0.1	0.4	sg						
	2.25	0	0.1	0.5	sg						
	2.28	0	0.2	0.6	sg						
	2.5	0	0.2	0.8	sg						
	2.7	0	0.95	1	s						
	4.6	0	1.7	1.95	cg						
	5.85	0	1.7	3.65	cg						
	6.2	0	4.5	5.35	cg						
	6.85	0	4.5	9.85	cg						
	8	0	0	14.35	m						
											
8.70N	1.68	0	0.2	0	sg	6.4	-4.6	0	NAO-GU	12	R
52.62W	1.75	0	0.2	0.2	sg	8.9	MCz	24.6	07G.2		
	1.95	0	0.3	0.4	s						
	2.33	0	0.2	0.7	sg						
	2.4	0	0.2	0.9	sg						
	2.37	0	0.7	1.1	sg						
	2.5	0	0.7	1.8	sg						
	4.75	0	0.45	2.5	cg						
	5.5	0	0.45	2.95	cg						
	6.37	0	2.75	3.4	cg						
	7.01	0	2.75	6.15	cg						
	8	0	0	8.9	m						
											
8.86N	1.68	0	0.3	0	sg	5.2	-4.6	0	NAO-GU	13	R
52.55W	1.8	0	0.3	0.3	sg	7.8	MCz	24.6	07G.2		
	1.95	0	0.1	0.6	sg						
	2	0	0.1	0.7	sg						
	2.33	0	0.2	0.8	sg						
	2.45	0	0.2	1	sg						
	2.37	0	0.7	1.2	sg						
	2.62	0	0.7	1.9	sg						
	4.6	0	0.3	2.6	cg						
	5.5	0	0.3	2.9	cg						
	6.48	0	2.3	3.2	cg						
	7.38	0	2.3	5.5	cg						
	8	0	0	7.8	m						
											
9.03N	1.68	0	0.25	0	sg	5.1	-4.7	0	NAO-GU	13	R
52.47W	1.8	0	0.25	0.25	sg	7.5	MCz	24.6	07G.2		
	1.95	0	0.15	0.5	sg						
	2	0	0.15	0.65	sg						
	2.33	0	0.2	0.8	sg						
	2.5	0	0.2	1	sg						
	2.48	0	0.6	1.2	sg						
	2.72	0	0.6	1.8	sg						
	4.5	0	0.5	2.4	cg						
	5.5	0	0.5	2.9	cg						
	6.43	0	2.05	3.4	cg						
	7.2	0	2.05	5.45	cg						
	8	0	0	7.5	m						
											
9.19N	1.68	0	0.3	0	sg	4	-4.7	0	NAO-GU	13	R
52.39W	1.8	0	0.3	0.3	sg	7.1	MCz	24.6	07G.2		
	1.95	0	0.15	0.6	sg						
	2	0	0.15	0.75	sg						
	2.33	0	0.3	0.9	sg						
	2.5	0	0.3	1.2	sg						
	2.6	0	0.8	1.5	sg						
	2.95	0	0.8	2.3	sg						
	4.5	0	0.5	3.1	cg						
	5.5	0	0.5	3.6	cg						
	6.6	0	1.5	4.1	cg						
	7.1	0	1.5	5.6	cg						
	8	0	0	7.1	m						
											
9.35N	1.68	0	0.3	0	sg	3.5	-4.8	0	NAO-GU	15	U
52.32W	1.8	0	0.3	0.3	sg	6.7	MCz	24.6	07G.2		
	1.95	0	0.1	0.6	sg						
	2.05	0	0.1	0.7	sg						
	2.33	0	0.3	0.8	sg						
	2.5	0	0.3	1.1	sg						
	2.65	0	0.7	1.4	sg						
	2.95	0	0.7	2.1	sg						
	3.5	0	0.2	2.8	sg						
	3.6	0	0.2	3	sg						
	4.6	0	0.4	3.2	cg						
	5.5	0	0.4	3.6	cg						
	6.6	0	1.35	4	cg						
	7.1	0	1.35	5.35	cg						
	8	0	0	6.7	m						
											
1.90N	1.6	0	0.75	0	sg	5.75	-3.1	0	NPO-PC	7	R
80.00W	2.1	0	0.8	0.75	sg	7.3	MCz	130.8	09A.3	O	RO
	4.4	0	0.5	1.55	cg						
	5.5	0	0.9	2.05	cg						
	6.05	0	2.35	2.95	cg						
	7	0	2	5.3	cg						
	7.8	0	0	7.3	m						
											
1.78N	1.9	0	1.45	0	sg	6.5	-2.9	0	NPO-PC	10	R
79.87W	3.1	0	1.45	1.45	sg	9.4	MCz	130.8	09A.3	O	RO
	4.1	0	0.4	2.9	cg						
	5	0	0.8	3.3	cg						
	5.5	0	0.55	4.1	cg						
	6	0	0.45	4.65	cg						
	6.15	0	0.9	5.1	cg						
	6.5	0	2	6	cg						
	6.85	0	1.4	8	cg						
	7.8	0	0	9.4	m						
											
1.66N	1.9	0	1	0	sg	12.3	-1.2	0	NPO-PC	14	R
79.73W	2.95	0	1	1	sg	14.3	MCz	130.8	09A.3	O	RO
	2.95	0	0.25	2	cg						
	3.5	0	0.6	2.25	cg						
	4	0	2.2	2.85	cg						
	4.9	0	1.85	5.05	cg						
	3.8	0	1.15	6.9	c						
	4.1	0	0.35	8.05	cg						
	5	0	0.6	8.4	cg						
	5.5	0	0.5	9	cg						
	6	0	0.5	9.5	cg						
	6.5	0	2.3	10	cg						
	6.85	0	2	12.3	cg						
	7.8	0	0	14.3	m						
											
1.49N	2	0	1.85	0	s	17.55	-0.7	0	SAC-PB	9	R
79.52W	4.3	0	3.55	1.85	cg	19.4	MCz	130.8	09A.3	O	RO
	6.15	0	5.6	5.4	cg						
	6.7	0	2.1	11	cg						
	4.5	0	0.45	13.1	c						
	5.7	0	0.95	13.55	cg						
	6.8	0	2.9	14.5	cg						
	7	0	2	17.4	cg						
	7.8	0	0	19.4	m						
											
6.70S	5.8	0	15	0		50	2	0	SAC-AN	4	E
79.20W	6.2	0	15	15		50	MCz	999	06T.2	O	RO
	6.8	0	20	30							
	8	0	0	50	m						
											
3.33S	1.74	0	0.36	0	sg	1.94	-4.7	0	SPO-PC	6	F
81.72W	1.81	0	0.36	0.36	sg	2.66	MCz	86.8	08C.1	O	RO
	3.84	0	0.72	0.72	cg						
	4.09	0	0.72	1.44	cg						
	4.62	0	0.5	2.16	cg						
	4.8	0	0	2.66	cg						
											
