The South American Crustal Structure Database

76.00W	8	3.35	0	60	m	60	MCz	60	71J.1	O	RO
											
20.00S	0	0	50	0		50	3.5	0	SAC-AN	2	R
65.50W	8	3.35	0	50	m	50	MCz	60	71J.1	P	LT
											
15.80S	5	2.88	6	0	s	64	3.8	0	SAC-AN	4	R
69.70W	6	3.46	17	6		70	MCz	60	71J.1	O	RO
	6.6	3.58	47	23							
	7.9	4.45	0	70	m						
											
15.50S	5	2.88	6	0	s	54	3.9	0	SAC-AN	4	R
69.50W	6	3.46	21	6		60	MCz	60	71J.1	O	RO
	6.6	3.58	33	27							
	7.9	4.3	0	60	m						
											
15.15S	0	0	50	0		50	3.8	0	SAC-AN	2	R
69.10W	7.9	0	0	50	m	50	MCz	60	71J.1	O	RO
											
22.00S	0	0	70	0		70	5	0	SAC-AN	2	R
68.00W	0	0	0	70	m	70	MCz	60	71J.1	O	RO
											
18.30S	6	3.46	3	0		10	-3	0	SPO-CH	3	R
73.25W	6.7	3.7	7	3		10	MCz	60	71J.1	O	RO
	8	4.4	0	10	m						
											
17.40S	6	3.46	13	0		30	-0.1	0	SAC-AN	3	R
71.50W	6.6	3.58	17	13		30	MCz	60	71J.1	O	RO
	7.9	4.45	0	30	m						
											
16.60S	5	2.88	5	0	s	55	4.5	0	SAC-AN	4	R
70.70W	6	3.46	16	5		60	MCz	60	71J.1	O	RO
	6.6	3.58	39	21							
	7.9	4.45	0	60	m						
											
16.40S	5	2.88	6	0	s	64	4.6	0	SAC-AN	4	R
70.50W	6	3.46	17	6		70	MCz	60	71J.1	O	RO
	6.6	3.58	47	23							
	7.9	4.45	0	70	m						
											
4.00N	6.8	0	24	0		24	-2.3	0	NPO-PN	2	O
81.60W	8.1	0	0	24	m	24	MCz	92	71E.1		
											
3.87N	6.8	0	20	0		20	-2.3	0	NPO-PN	2	O
80.20W	8.1	0	0	20	m	20	MCz	92	71E.1		
											
3.83N	3.08	0	7.5	0	s	0	-3.3	0	NPO-PN	2	O
